FL_DATE,AIRLINE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,DISTANCE
2020-09-16,Southwest Airlines Co.,LAS,GEG,-4.0,-22.0,0,806.0
2022-06-23,SkyWest Airlines Inc.,LAX,COS,215.0,212.0,0,833.0
2019-06-06,American Airlines Inc.,DFW,MSY,-2.0,24.0,0,447.0
2022-10-04,Delta Air Lines Inc.,MSP,SLC,-2.0,-14.0,0,991.0
2020-07-20,American Airlines Inc.,LGA,CLT,-17.0,14.0,0,544.0
2022-06-25,American Airlines Inc.,DFW,MSP,-1.0,-16.0,0,852.0
2019-10-29,Delta Air Lines Inc.,ATL,RIC,-5.0,2.0,0,481.0
2023-03-22,United Air Lines Inc.,SFO,LAS,-1.0,2.0,0,414.0
2019-01-18,United Air Lines Inc.,DEN,ATL,94.0,80.0,0,1199.0
2022-05-14,Southwest Airlines Co.,MCO,ISP,22.0,15.0,0,971.0
2019-04-05,JetBlue Airways,DCA,BDL,6.0,1.0,0,313.0
2019-11-26,Alaska Airlines Inc.,SFO,LAX,-3.0,-5.0,0,337.0
2020-02-10,Delta Air Lines Inc.,ATL,FLL,-2.0,-19.0,0,581.0
2022-01-03,American Airlines Inc.,MCI,DFW,17.0,2.0,0,460.0
2021-09-05,Envoy Air,MIA,JAX,-3.0,-4.0,0,335.0
2019-01-05,American Airlines Inc.,SJC,DFW,3.0,-14.0,0,1438.0
2021-01-12,Mesa Airlines Inc.,MTJ,IAH,-8.0,-19.0,0,927.0
2022-09-08,Southwest Airlines Co.,HOU,DEN,0.0,0.0,1,883.0
2019-06-22,Spirit Air Lines,ATL,MCO,34.0,35.0,0,404.0
2023-03-28,Southwest Airlines Co.,LAS,RNO,8.0,10.0,0,345.0
2022-11-11,Alaska Airlines Inc.,IAH,SEA,-6.0,-28.0,0,1874.0
2023-06-18,Southwest Airlines Co.,MSY,DAL,-5.0,-1.0,0,436.0
2021-10-25,American Airlines Inc.,CLT,ALB,-3.0,14.0,0,646.0
2020-10-12,Southwest Airlines Co.,MAF,LAS,13.0,5.0,0,795.0
2021-07-11,SkyWest Airlines Inc.,DEN,BFF,35.0,37.0,0,150.0
2022-09-12,SkyWest Airlines Inc.,AEX,DFW,-8.0,-15.0,0,285.0
2021-12-12,Republic Airline,SDF,ATL,0.0,0.0,0,321.0
2022-08-20,Southwest Airlines Co.,ELP,LAX,9.0,6.0,0,715.0
2019-11-17,Delta Air Lines Inc.,SEA,LAS,33.0,18.0,0,867.0
2022-06-03,United Air Lines Inc.,IAH,MSY,-5.0,-20.0,0,305.0
2019-03-21,Hawaiian Airlines Inc.,SAN,OGG,40.0,47.0,0,2541.0
2023-04-13,Delta Air Lines Inc.,ATL,IAH,9.0,10.0,0,689.0
2020-03-28,American Airlines Inc.,DFW,AUS,0.0,0.0,1,190.0
2020-07-02,United Air Lines Inc.,DEN,IAH,-6.0,-19.0,0,862.0
2023-04-03,Delta Air Lines Inc.,FLL,LGA,1.0,-18.0,0,1076.0
2019-09-12,SkyWest Airlines Inc.,DLH,MSP,1.0,-11.0,0,144.0
2023-08-28,Delta Air Lines Inc.,ATL,PHL,26.0,10.0,0,666.0
2022-09-15,Hawaiian Airlines Inc.,LIH,OGG,-5.0,-7.0,0,201.0
2022-11-17,American Airlines Inc.,DFW,SNA,16.0,12.0,0,1205.0
2023-04-04,Southwest Airlines Co.,LAS,AUS,0.0,-10.0,0,1090.0
2022-02-08,PSA Airlines Inc.,CAK,CLT,-9.0,-15.0,0,394.0
2021-07-08,SkyWest Airlines Inc.,ORD,ATL,-2.0,-3.0,0,606.0
2019-03-09,Southwest Airlines Co.,MSP,LAS,0.0,0.0,1,1299.0
2019-06-23,Allegiant Air,USA,FLL,21.0,21.0,0,643.0
2022-11-12,American Airlines Inc.,MIA,CLT,43.0,29.0,0,650.0
2022-01-16,United Air Lines Inc.,EGE,IAH,4.0,-17.0,0,934.0
2019-07-25,Alaska Airlines Inc.,SNA,SEA,-3.0,-12.0,0,978.0
2020-10-09,American Airlines Inc.,DFW,LAS,0.0,-5.0,0,1055.0
2019-05-07,PSA Airlines Inc.,CLT,TYS,-2.0,-10.0,0,177.0
2019-11-25,Endeavor Air Inc.,PWM,LGA,-2.0,-3.0,0,269.0
2022-07-18,Endeavor Air Inc.,JFK,MKE,251.0,0.0,1,745.0
2022-02-26,Horizon Air,SAN,BOI,3.0,-3.0,0,749.0
2021-08-14,Horizon Air,SEA,RDM,1.0,0.0,0,228.0
2019-05-18,Southwest Airlines Co.,SJC,BUR,48.0,37.0,0,296.0
2021-07-22,SkyWest Airlines Inc.,AUS,SAN,4.0,-5.0,0,1164.0
2022-01-06,PSA Airlines Inc.,MSN,CLT,-5.0,-11.0,0,708.0
2022-09-19,Hawaiian Airlines Inc.,SMF,OGG,-3.0,-29.0,0,2404.0
2019-07-13,SkyWest Airlines Inc.,DEN,LAR,108.0,103.0,0,113.0
2019-03-27,United Air Lines Inc.,DCA,ORD,-5.0,-25.0,0,612.0
2019-01-24,Republic Airline,LGA,ORD,430.0,396.0,0,733.0
2022-02-06,United Air Lines Inc.,RSW,IAH,-4.0,-5.0,0,861.0
2021-08-02,Delta Air Lines Inc.,MSP,LGA,-5.0,-22.0,0,1020.0
2023-02-10,Delta Air Lines Inc.,MCI,ATL,-2.0,-13.0,0,692.0
2019-10-10,Delta Air Lines Inc.,SFO,LAX,-3.0,-16.0,0,337.0
2020-11-21,Southwest Airlines Co.,LAS,BOI,-4.0,-21.0,0,519.0
2019-08-17,Delta Air Lines Inc.,ATL,STL,0.0,-16.0,0,484.0
2022-09-25,Alaska Airlines Inc.,EWR,LAX,149.0,150.0,0,2454.0
2019-12-11,Republic Airline,SDF,LGA,162.0,149.0,0,659.0
2022-10-15,Delta Air Lines Inc.,ATL,CHS,-3.0,-7.0,0,259.0
2020-11-21,Spirit Air Lines,MSY,IAH,-6.0,-6.0,0,305.0
2019-07-08,American Airlines Inc.,LGA,DFW,0.0,-11.0,0,1389.0
2023-01-02,Delta Air Lines Inc.,BOS,ATL,5.0,-24.0,0,946.0
2022-04-27,American Airlines Inc.,SBA,DFW,-4.0,-5.0,0,1316.0
2019-12-26,Delta Air Lines Inc.,DFW,DTW,-6.0,-13.0,0,986.0
2022-12-20,Endeavor Air Inc.,CLE,LGA,-5.0,-32.0,0,419.0
2020-07-17,Endeavor Air Inc.,DTW,MDT,-10.0,-10.0,0,371.0
2020-11-04,American Airlines Inc.,MIA,MSY,-4.0,6.0,0,675.0
2022-02-14,Endeavor Air Inc.,CVG,AUS,-1.0,-7.0,0,958.0
2019-03-16,JetBlue Airways,SRQ,JFK,-5.0,-26.0,0,1041.0
2019-03-07,Southwest Airlines Co.,MDW,IND,41.0,35.0,0,162.0
2022-04-17,JetBlue Airways,BOS,CLE,6.0,-5.0,0,563.0
2019-03-06,Envoy Air,BWI,ORD,41.0,41.0,0,622.0
2019-08-22,SkyWest Airlines Inc.,MCI,SAN,-1.0,38.0,0,1334.0
2023-07-31,American Airlines Inc.,CLT,DSM,153.0,146.0,0,815.0
2022-04-03,Delta Air Lines Inc.,SAN,SLC,-9.0,-16.0,0,626.0
2019-12-31,SkyWest Airlines Inc.,ORD,UIN,-10.0,3.0,0,222.0
2019-02-12,American Airlines Inc.,BUF,CLT,208.0,204.0,0,546.0
2020-02-14,United Air Lines Inc.,IAH,AUS,-7.0,-17.0,0,140.0
2022-12-02,Southwest Airlines Co.,LAS,DAL,20.0,5.0,0,1067.0
2019-11-02,SkyWest Airlines Inc.,HLN,MSP,-5.0,-23.0,0,913.0
2022-10-10,Endeavor Air Inc.,STL,LGA,-9.0,-7.0,0,888.0
2019-06-05,SkyWest Airlines Inc.,DFW,SBN,89.0,145.0,0,846.0
2020-09-15,American Airlines Inc.,CLT,RDU,-7.0,-19.0,0,130.0
2023-02-22,Southwest Airlines Co.,BNA,AUS,0.0,-8.0,0,756.0
2020-09-04,Delta Air Lines Inc.,MSP,SMF,-5.0,-17.0,0,1517.0
2019-08-16,Spirit Air Lines,MCO,SJU,0.0,0.0,1,1189.0
2019-02-04,SkyWest Airlines Inc.,AUS,LAX,-2.0,-5.0,0,1242.0
2022-07-09,Southwest Airlines Co.,AUS,STL,-5.0,-6.0,0,721.0
2021-12-29,Envoy Air,CRP,DFW,-1.0,4.0,0,354.0
2020-01-12,PSA Airlines Inc.,CLT,GSP,28.0,44.0,0,75.0
2021-11-20,Southwest Airlines Co.,PHX,MDW,10.0,-2.0,0,1444.0
2020-12-13,Envoy Air,GRB,ORD,-7.0,-16.0,0,174.0
2022-04-29,United Air Lines Inc.,IAH,ORD,0.0,0.0,1,925.0
2020-12-01,Frontier Airlines Inc.,SLC,DEN,-10.0,-16.0,0,391.0
2023-04-09,JetBlue Airways,TPA,SJU,-5.0,-15.0,0,1237.0
2020-05-25,SkyWest Airlines Inc.,ROW,DFW,-9.0,-12.0,0,435.0
2021-08-31,American Airlines Inc.,CLT,LGA,23.0,21.0,0,544.0
2022-06-17,American Airlines Inc.,ORD,MIA,-4.0,24.0,0,1197.0
2023-08-02,Frontier Airlines Inc.,ATL,LGA,2.0,-5.0,0,762.0
2019-09-17,Southwest Airlines Co.,RDU,ATL,25.0,15.0,0,356.0
2022-09-15,Republic Airline,ORD,CLT,4.0,-5.0,0,599.0
2020-12-26,SkyWest Airlines Inc.,SLC,RDM,-2.0,-11.0,0,525.0
2023-04-09,Delta Air Lines Inc.,ATL,SNA,-4.0,-29.0,0,1919.0
2019-01-22,Southwest Airlines Co.,MCI,MDW,0.0,0.0,1,405.0
2020-11-30,United Air Lines Inc.,DEN,PHX,-6.0,-18.0,0,602.0
2022-05-22,American Airlines Inc.,RNO,PHX,-1.0,-3.0,0,601.0
2019-01-24,Republic Airline,OMA,CLT,-2.0,38.0,0,913.0
2022-08-06,Southwest Airlines Co.,GEG,LAS,6.0,-8.0,0,806.0
2023-07-05,Alaska Airlines Inc.,SAN,JFK,-5.0,2.0,0,2446.0
2019-10-25,SkyWest Airlines Inc.,CLE,LGA,-4.0,-9.0,0,419.0
2021-05-26,Southwest Airlines Co.,PIT,MCO,-1.0,-19.0,0,834.0
2023-02-09,PSA Airlines Inc.,BHM,CLT,-8.0,-19.0,0,350.0
2022-02-24,Southwest Airlines Co.,LAS,BUR,13.0,12.0,0,223.0
2022-12-26,Southwest Airlines Co.,AUS,OKC,45.0,39.0,0,358.0
2021-01-26,PSA Airlines Inc.,HSV,CLT,-11.0,-19.0,0,333.0
2023-07-16,Delta Air Lines Inc.,GSO,ATL,22.0,10.0,0,306.0
2023-01-02,Allegiant Air,IAD,SRQ,247.0,232.0,0,849.0
2019-09-12,United Air Lines Inc.,ORD,LAS,90.0,78.0,0,1514.0
2019-11-07,SkyWest Airlines Inc.,LAX,SJC,-1.0,-19.0,0,308.0
2021-10-26,Republic Airline,PIT,PHL,-6.0,-9.0,0,268.0
2019-05-23,Frontier Airlines Inc.,DEN,ONT,157.0,155.0,0,819.0
2023-05-09,Southwest Airlines Co.,BNA,BWI,-5.0,-4.0,0,587.0
2022-04-27,SkyWest Airlines Inc.,BIL,MSP,-4.0,-10.0,0,748.0
2022-03-02,American Airlines Inc.,ORD,EWR,-2.0,-11.0,0,719.0
2022-11-07,United Air Lines Inc.,ORD,COS,-2.0,-6.0,0,911.0
2021-10-24,Delta Air Lines Inc.,SLC,SNA,-2.0,3.0,0,588.0
2021-10-27,American Airlines Inc.,DCA,ORD,-6.0,-17.0,0,612.0
2019-06-09,Alaska Airlines Inc.,BOS,SAN,-6.0,-4.0,0,2588.0
2019-08-07,United Air Lines Inc.,IAH,MCI,-5.0,-7.0,0,643.0
2022-10-23,American Airlines Inc.,DFW,MCI,-9.0,-28.0,0,460.0
2022-07-13,Delta Air Lines Inc.,JFK,SFO,1.0,-14.0,0,2586.0
2022-06-20,SkyWest Airlines Inc.,CMH,DTW,-2.0,0.0,0,155.0
2021-11-20,United Air Lines Inc.,DEN,SNA,-2.0,-3.0,0,846.0
2019-09-27,Spirit Air Lines,IAH,FLL,-2.0,-27.0,0,966.0
2022-04-07,American Airlines Inc.,PHL,AUS,0.0,51.0,0,1430.0
2021-03-23,Southwest Airlines Co.,OAK,BOI,-8.0,-6.0,0,512.0
2022-06-29,United Air Lines Inc.,LAX,DEN,12.0,32.0,0,862.0
2021-09-25,United Air Lines Inc.,EWR,SAT,0.0,0.0,1,1569.0
2022-05-10,SkyWest Airlines Inc.,MOT,MSP,-1.0,3.0,0,449.0
2019-12-16,American Airlines Inc.,ORD,BWI,6.0,1.0,0,621.0
2021-04-30,PSA Airlines Inc.,CAE,CLT,-9.0,-18.0,0,88.0
2021-06-08,Southwest Airlines Co.,LBB,DAL,6.0,29.0,0,293.0
2020-08-13,Republic Airline,DCA,LGA,-7.0,-33.0,0,214.0
2023-07-08,PSA Airlines Inc.,DCA,TYS,-5.0,-1.0,0,437.0
2023-04-28,Republic Airline,LGA,ILM,15.0,15.0,0,500.0
2021-07-05,SkyWest Airlines Inc.,JAC,SEA,-2.0,9.0,0,621.0
2022-11-03,United Air Lines Inc.,EWR,MEM,-2.0,-21.0,0,946.0
2020-02-15,Hawaiian Airlines Inc.,ITO,HNL,-8.0,-1.0,0,216.0
2019-03-05,ExpressJet Airlines LLC d/b/a aha!,ORD,SBN,-12.0,-8.0,0,84.0
2020-12-13,Southwest Airlines Co.,HOU,OKC,0.0,0.0,1,419.0
2021-11-12,Republic Airline,IAD,EYW,-6.0,28.0,0,1023.0
2019-02-20,American Airlines Inc.,CLT,JFK,0.0,0.0,1,541.0
2021-06-08,JetBlue Airways,ATL,JFK,15.0,20.0,0,760.0
2023-08-21,Delta Air Lines Inc.,SJU,ATL,-3.0,-7.0,0,1547.0
2021-09-30,Southwest Airlines Co.,SFO,LAS,-1.0,-3.0,0,414.0
2021-09-16,Southwest Airlines Co.,MDW,FLL,-1.0,-8.0,0,1167.0
2022-01-06,American Airlines Inc.,FLL,CLT,-8.0,-31.0,0,632.0
2019-05-03,United Air Lines Inc.,SEA,IAH,12.0,101.0,0,1874.0
2022-09-16,Southwest Airlines Co.,AUS,SLC,6.0,-1.0,0,1086.0
2020-04-26,Alaska Airlines Inc.,ATL,SEA,-6.0,-7.0,0,2182.0
2020-08-31,Delta Air Lines Inc.,LGA,MSP,-5.0,-20.0,0,1020.0
2019-12-03,American Airlines Inc.,PHL,FLL,26.0,1.0,0,992.0
2022-01-03,Endeavor Air Inc.,MDT,DTW,127.0,114.0,0,371.0
2021-05-17,Southwest Airlines Co.,DAL,TPA,-2.0,-10.0,0,917.0
2022-04-29,Republic Airline,RDU,BNA,-11.0,-18.0,0,442.0
2021-07-20,Horizon Air,SNA,PDX,-7.0,2.0,0,859.0
2021-09-30,Southwest Airlines Co.,SAN,PHX,-6.0,-7.0,0,304.0
2023-03-04,SkyWest Airlines Inc.,ASE,LAX,10.0,24.0,0,737.0
2023-07-01,United Air Lines Inc.,SFO,CLE,-1.0,-24.0,0,2161.0
2021-10-24,Delta Air Lines Inc.,SEA,SFO,20.0,55.0,0,679.0
2020-02-11,Envoy Air,LGA,CMH,40.0,57.0,0,479.0
2022-03-28,Envoy Air,ORD,ELP,-4.0,-12.0,0,1236.0
2022-10-11,Republic Airline,IAD,CMH,36.0,21.0,0,299.0
2023-07-12,Alaska Airlines Inc.,LAS,LAX,-9.0,-3.0,0,236.0
2023-06-21,American Airlines Inc.,CLE,DFW,24.0,0.0,0,1021.0
2022-03-18,United Air Lines Inc.,LAS,DEN,0.0,0.0,1,628.0
2021-08-25,SkyWest Airlines Inc.,DEN,EGE,9.0,9.0,0,120.0
2019-06-28,Alaska Airlines Inc.,PDX,SJC,-4.0,-1.0,0,569.0
2019-05-06,SkyWest Airlines Inc.,ORD,DTW,-2.0,-15.0,0,235.0
2019-06-04,JetBlue Airways,BOS,LAS,-2.0,-29.0,0,2381.0
2023-03-27,American Airlines Inc.,ORD,DSM,8.0,12.0,0,299.0
2020-03-01,SkyWest Airlines Inc.,IAH,DFW,1.0,4.0,0,224.0
2023-08-10,Southwest Airlines Co.,LAS,OAK,2.0,0.0,0,407.0
2022-02-05,American Airlines Inc.,PHL,CLT,24.0,5.0,0,449.0
2019-07-25,SkyWest Airlines Inc.,PDX,MCI,-3.0,-17.0,0,1482.0
2022-11-26,American Airlines Inc.,PNS,DFW,-4.0,-20.0,0,604.0
2023-03-22,SkyWest Airlines Inc.,SJC,SAN,109.0,110.0,0,417.0
2019-03-11,Southwest Airlines Co.,ELP,HOU,-6.0,-18.0,0,677.0
2023-04-16,Southwest Airlines Co.,SAN,DEN,2.0,-2.0,0,853.0
2023-08-12,Southwest Airlines Co.,MDW,LGA,0.0,6.0,0,725.0
2019-02-26,Endeavor Air Inc.,CAE,ATL,-5.0,5.0,0,192.0
2023-04-06,Delta Air Lines Inc.,DTW,RDU,21.0,8.0,0,501.0
2021-05-17,United Air Lines Inc.,MCO,IAH,-6.0,-10.0,0,854.0
2021-03-06,Southwest Airlines Co.,MCO,PHL,-2.0,-14.0,0,861.0
2021-06-16,Frontier Airlines Inc.,MIA,ATL,-7.0,-14.0,0,594.0
2021-08-09,Republic Airline,DCA,SYR,-4.0,-17.0,0,298.0
2021-08-04,Southwest Airlines Co.,ATL,MIA,39.0,39.0,0,594.0
2023-06-13,United Air Lines Inc.,SFO,SEA,-4.0,-1.0,0,679.0
2019-11-02,Republic Airline,CLT,CMH,-6.0,-19.0,0,347.0
2022-11-08,Republic Airline,RDU,BNA,-8.0,-9.0,0,442.0
2021-11-07,Delta Air Lines Inc.,ATL,RSW,-3.0,-9.0,0,515.0
2020-12-20,Alaska Airlines Inc.,SEA,RDU,-10.0,-27.0,0,2354.0
2022-09-18,American Airlines Inc.,ORD,CLT,5.0,4.0,0,599.0
2022-06-04,United Air Lines Inc.,SEA,IAH,-6.0,-17.0,0,1874.0
2019-08-13,Endeavor Air Inc.,BTV,JFK,48.0,52.0,0,266.0
2020-12-06,Republic Airline,EWR,BUF,-17.0,-23.0,0,282.0
2021-05-11,Delta Air Lines Inc.,JFK,MCO,0.0,-28.0,0,944.0
2022-11-08,American Airlines Inc.,LGA,DCA,-10.0,-2.0,0,214.0
2021-11-25,American Airlines Inc.,MCO,PHX,75.0,51.0,0,1849.0
2019-12-26,American Airlines Inc.,DFW,ORD,-1.0,-15.0,0,801.0
2019-09-07,Southwest Airlines Co.,MDW,BNA,5.0,-13.0,0,395.0
2022-12-28,Alaska Airlines Inc.,SEA,DEN,9.0,30.0,0,1024.0
2021-05-17,Southwest Airlines Co.,PHX,HOU,57.0,134.0,0,1020.0
2019-08-14,American Airlines Inc.,BUR,DFW,-2.0,-16.0,0,1231.0
2020-12-10,SkyWest Airlines Inc.,JAX,ORD,-7.0,-28.0,0,864.0
2019-11-20,Alaska Airlines Inc.,LAS,PDX,0.0,0.0,1,763.0
2022-03-29,United Air Lines Inc.,SAN,ORD,29.0,-2.0,0,1723.0
2019-11-10,Alaska Airlines Inc.,SBA,SEA,-17.0,-6.0,0,908.0
2023-03-09,,PIT,JFK,-6.0,-8.0,0,340.0
2020-12-09,SkyWest Airlines Inc.,DFW,EGE,-1.0,7.0,0,721.0
2021-10-05,SkyWest Airlines Inc.,SEA,SMF,7.0,6.0,0,605.0
2019-04-17,American Airlines Inc.,DFW,COS,-3.0,-14.0,0,592.0
2019-03-17,United Air Lines Inc.,SAT,DEN,0.0,-10.0,0,794.0
2021-04-26,Delta Air Lines Inc.,DTW,MSP,-9.0,-20.0,0,528.0
2020-11-22,American Airlines Inc.,SFO,CLT,-3.0,-28.0,0,2296.0
2022-09-11,Southwest Airlines Co.,ABQ,PHX,-9.0,-21.0,0,328.0
2021-12-20,Southwest Airlines Co.,TPA,MEM,5.0,-15.0,0,655.0
2021-12-27,SkyWest Airlines Inc.,LSE,DTW,18.0,-2.0,0,416.0
2020-10-02,Southwest Airlines Co.,MDW,PIT,-3.0,-14.0,0,402.0
2019-10-14,United Air Lines Inc.,DEN,RNO,-4.0,-15.0,0,804.0
2023-04-29,SkyWest Airlines Inc.,TUL,SLC,-8.0,-36.0,0,926.0
2019-09-06,JetBlue Airways,BOS,PHL,-7.0,2.0,0,280.0
2023-03-25,Envoy Air,ORD,COU,-2.0,4.0,0,315.0
2022-10-31,American Airlines Inc.,DCA,LAS,-4.0,-42.0,0,2089.0
2020-07-11,Delta Air Lines Inc.,MSP,DTW,-4.0,-13.0,0,528.0
2021-08-12,Delta Air Lines Inc.,DTW,PHX,13.0,16.0,0,1671.0
2021-12-28,Delta Air Lines Inc.,SFO,DTW,-6.0,-38.0,0,2079.0
2021-07-03,Southwest Airlines Co.,MHT,BWI,-4.0,-9.0,0,377.0
2021-11-01,Alaska Airlines Inc.,DEN,PDX,-6.0,-9.0,0,991.0
2023-04-04,Southwest Airlines Co.,PHX,GEG,6.0,4.0,0,1020.0
2019-05-15,SkyWest Airlines Inc.,MSP,IMT,-1.0,-16.0,0,257.0
2023-02-18,Southwest Airlines Co.,MCO,BDL,-1.0,49.0,0,1050.0
2023-07-24,Southwest Airlines Co.,MCO,MDW,5.0,-4.0,0,990.0
2021-06-06,Delta Air Lines Inc.,SAV,ATL,0.0,-6.0,0,214.0
2021-12-22,United Air Lines Inc.,ORD,IAD,4.0,17.0,0,588.0
2019-05-21,Delta Air Lines Inc.,ATL,LAX,0.0,13.0,0,1947.0
2020-08-30,Envoy Air,TVC,ORD,-9.0,-5.0,0,224.0
2019-04-25,United Air Lines Inc.,ORF,ORD,-12.0,-35.0,0,717.0
2019-02-25,SkyWest Airlines Inc.,OMA,MSP,-7.0,-23.0,0,282.0
2022-08-28,Delta Air Lines Inc.,DTW,LAS,-2.0,9.0,0,1749.0
2022-01-22,JetBlue Airways,ABQ,JFK,-17.0,-24.0,0,1826.0
2022-04-24,Southwest Airlines Co.,SJC,BUR,48.0,73.0,0,296.0
2022-06-11,American Airlines Inc.,LAX,AUS,-9.0,-12.0,0,1242.0
2020-12-22,United Air Lines Inc.,BOS,ORD,-6.0,-21.0,0,867.0
2022-04-18,SkyWest Airlines Inc.,CMH,DTW,319.0,308.0,0,155.0
2021-03-01,Allegiant Air,MDW,SAV,-10.0,-14.0,0,758.0
2019-05-17,Republic Airline,MCI,DCA,28.0,34.0,0,949.0
2023-04-01,Southwest Airlines Co.,MKE,PHX,2.0,4.0,0,1460.0
2022-02-17,SkyWest Airlines Inc.,DFW,SBN,-9.0,-23.0,0,846.0
2021-09-30,Southwest Airlines Co.,SDF,ATL,-5.0,-9.0,0,321.0
2020-09-06,Delta Air Lines Inc.,DEN,MSP,-4.0,-9.0,0,680.0
2022-01-16,Republic Airline,OMA,DCA,-9.0,0.0,0,1012.0
2023-05-16,United Air Lines Inc.,IAH,ATL,56.0,58.0,0,689.0
2019-02-20,American Airlines Inc.,DFW,DTW,37.0,18.0,0,986.0
2019-01-29,PSA Airlines Inc.,CLE,DCA,2.0,-3.0,0,310.0
2019-10-24,American Airlines Inc.,DFW,LAX,46.0,41.0,0,1235.0
2022-09-16,United Air Lines Inc.,DCA,ORD,-2.0,-16.0,0,612.0
2022-02-05,United Air Lines Inc.,ORD,SFO,-7.0,-16.0,0,1846.0
2022-10-09,SkyWest Airlines Inc.,FAT,SFO,-9.0,-1.0,0,158.0
2019-07-27,Republic Airline,MCI,BOS,-7.0,-14.0,0,1256.0
2022-05-18,Republic Airline,LGA,CMH,-2.0,-7.0,0,479.0
2019-05-06,American Airlines Inc.,DFW,LAS,-2.0,-7.0,0,1055.0
2019-12-14,Delta Air Lines Inc.,ATL,OMA,-11.0,-26.0,0,821.0
2021-02-09,Horizon Air,PDX,RNO,-6.0,-9.0,0,444.0
2020-03-18,Delta Air Lines Inc.,MSP,SLC,117.0,145.0,0,991.0
2021-12-04,United Air Lines Inc.,ORD,SFO,-4.0,-34.0,0,1846.0
2020-07-13,Southwest Airlines Co.,LAS,OAK,11.0,0.0,0,407.0
2020-05-25,Republic Airline,PHL,SDF,-5.0,-19.0,0,576.0
2023-06-26,SkyWest Airlines Inc.,MAF,PHX,-10.0,-23.0,0,581.0
2022-01-21,Envoy Air,STL,AUS,-19.0,-26.0,0,721.0
2021-03-19,Alaska Airlines Inc.,SEA,ANC,3.0,2.0,0,1448.0
2020-01-26,United Air Lines Inc.,ORD,IAH,-3.0,-31.0,0,925.0
2021-12-18,Southwest Airlines Co.,ABQ,DAL,14.0,21.0,0,580.0
2021-03-22,American Airlines Inc.,ORD,LAS,-5.0,6.0,0,1514.0
2022-07-30,Spirit Air Lines,FLL,IAH,0.0,-19.0,0,966.0
2019-03-07,Envoy Air,TLH,MIA,-14.0,-21.0,0,402.0
2019-07-11,Southwest Airlines Co.,LGA,HOU,0.0,0.0,1,1428.0
2021-08-21,Southwest Airlines Co.,SAN,DEN,8.0,-11.0,0,853.0
2020-01-27,Southwest Airlines Co.,DAL,SJC,2.0,-16.0,0,1450.0
2023-01-30,SkyWest Airlines Inc.,LWS,SLC,-5.0,-16.0,0,461.0
2020-07-14,United Air Lines Inc.,TPA,ORD,-16.0,-59.0,0,1011.0
2019-09-23,Alaska Airlines Inc.,SEA,DFW,-2.0,-19.0,0,1660.0
2020-02-09,SkyWest Airlines Inc.,SLC,DEN,-2.0,10.0,0,391.0
2019-05-19,Hawaiian Airlines Inc.,KOA,HNL,-8.0,-9.0,0,163.0
2019-07-17,SkyWest Airlines Inc.,TUS,SLC,-5.0,2.0,0,601.0
2021-08-24,Southwest Airlines Co.,STL,DAL,24.0,14.0,0,546.0
2020-01-19,American Airlines Inc.,DFW,DTW,0.0,-6.0,0,986.0
2021-11-27,Delta Air Lines Inc.,SAV,ATL,-8.0,-19.0,0,214.0
2023-05-10,Republic Airline,LGA,PWM,-7.0,-10.0,0,269.0
2021-08-27,Southwest Airlines Co.,LGA,MCO,10.0,-9.0,0,950.0
2021-07-27,SkyWest Airlines Inc.,OKC,LAX,-8.0,-11.0,0,1187.0
2022-12-02,Alaska Airlines Inc.,BET,ANC,33.0,33.0,0,399.0
2022-04-05,SkyWest Airlines Inc.,SAF,DFW,-8.0,-10.0,0,551.0
2019-07-15,Republic Airline,PHL,MCI,-5.0,18.0,0,1038.0
2019-10-28,Southwest Airlines Co.,AUS,HOU,2.0,-16.0,0,148.0
2021-10-05,Southwest Airlines Co.,HNL,OGG,22.0,26.0,0,100.0
2021-10-28,Delta Air Lines Inc.,SAN,DTW,-5.0,1.0,0,1956.0
2020-01-28,Southwest Airlines Co.,LAS,IND,-5.0,-15.0,0,1590.0
2019-10-12,Alaska Airlines Inc.,SEA,BOS,0.0,-8.0,0,2496.0
2020-07-20,SkyWest Airlines Inc.,LWS,SLC,-5.0,-2.0,0,461.0
2019-07-26,SkyWest Airlines Inc.,RDD,SFO,-6.0,-11.0,0,199.0
2021-03-06,Alaska Airlines Inc.,JNU,ANC,-26.0,-33.0,0,571.0
2022-02-13,American Airlines Inc.,ATL,DFW,-5.0,-13.0,0,731.0
2022-05-07,JetBlue Airways,PBI,JFK,-1.0,-4.0,0,1028.0
2019-09-28,SkyWest Airlines Inc.,FWA,ORD,11.0,41.0,0,157.0
2021-09-13,SkyWest Airlines Inc.,SFO,LAX,-7.0,-35.0,0,337.0
2020-03-15,SkyWest Airlines Inc.,ORD,HPN,-6.0,-21.0,0,738.0
2023-01-12,Delta Air Lines Inc.,ATL,ORF,-12.0,-7.0,0,516.0
2023-05-17,Delta Air Lines Inc.,MIA,ATL,0.0,-3.0,0,594.0
2021-11-29,American Airlines Inc.,PHX,EWR,0.0,-3.0,0,2133.0
2020-02-11,United Air Lines Inc.,BNA,EWR,-12.0,-30.0,0,748.0
2022-06-09,Delta Air Lines Inc.,BWI,ATL,-6.0,-5.0,0,577.0
2022-05-21,JetBlue Airways,EWR,TPA,81.0,64.0,0,997.0
